
snap(15,-7,-50)

sky(203,234,305)
fog(221,233,255) 
ground(200,200,200)
polys(192,194,196)

fadefrom(6000)
density(6)

name(Night Digger's Doom)
nlaps(2)
//changing laps count as cheating! 


snap(-60,-60,-60)
set(47,0,0,0)p
set(10,0,5600,0)p
chk(40,0,8325,0)
set(14,0,10150,-90)pt
set(36,-2590,11960,0)ph
set(36,-4550,11960,0)
set(10,-4550,10150,90)p
set(10,-10150,10150,90)p
set(10,-15750,10150,90)p
chk(40,-18525,10150,90)
set(14,-20300,10150,90)pt
set(20,-20300,14700,180)p
set(15,-20300,20300,0)p
set(15,-20300,25900,0)p
set(34,-20300,28700,0)pr
set(15,-20300,31500,0)p
set(15,-20300,37100,0)p
set(15,-20300,42700,0)p
set(15,-20300,48300,0)p
set(17,-20300,52850,0)pt
set(15,-15750,52850,90)p
set(17,-11200,52850,-90)pt
chk(42,-11200,50525,0)
set(20,-11200,48300,180)p
set(31,-11200,44191,180)pr
set(23,-11200,42511,0)p

set(23,-11200,28700,180)p
set(10,-11200,25900,0)p
set(10,-11200,20300,0)p
chk(40,-11200,17525,0)
set(14,-11200,15750,180)pt
set(14,-14200,15750,90)pt
set(10,-14200,20300,0)p
set(32,-14500,22600,0)pr
set(10,-14200,25900,0)p
set(13,-15711,31540,30)p
chk(40,-17222,34785,0)
set(14,-17222,36130,0)pt
set(12,-12632,34619,60)p
chk(40,-9487,33108,90)
set(14,-8042,33108,-90)pt
set(26,-8042,29318,180)pr
set(10,-8042,28558,0)p
set(10,-8042,25900,0)p
set(10,-8042,20300,0)p
set(14,-8042,15750,90)pt
chk(40,-6252,15750,90)
set(10,-3492,15750,90)p
set(14,1058,15750,180)pt
set(13,-453,20340,30)p
set(20,-1964,25980,180)p
set(15,-1964,31580,0)p
set(34,-1964,34380,0)pr
fix(41,-1964,37220,-2000,0)
set(15,-1964,37180,0)p
set(15,-1964,42780,0)p
set(20,-1964,48380,0)p
chk(40,-1964,50150,0)
set(12,-453,54020,-30)p
set(14,1058,58610,0)pt
set(14,4058,58610,-90)pt
chk(40,4058,56350,0)
set(10,4058,54060,0)p
set(10,4058,48460,0)p
set(29,4058,44351,0)pr
set(29,4058,44351,180)
set(23,4058,42671,0)p

set(24,4058,30800,0)p
set(15,4058,28000,0)p
set(33,4058,28000,0)
set(15,4058,22400,0)p
set(33,4058,22400,0)
set(15,4058,16800,0)p
set(33,4058,16800,0)
set(15,4058,11200,0)p
set(33,4058,11200,0)
set(15,4058,5600,0)p
set(33,4058,5600,0)
set(15,4058,0,0)p
set(33,4058,0,0)
set(15,4058,-5600,0)p
chk(42,4058,-7725,0)
set(17,4058,-10150,180)pt
set(15,-492,-10150,90)p
set(35,-492,-10150,90)pr
set(20,-6092,-10150,90)p
set(10,-11692,-10150,90)p
set(10,-17292,-10150,90)p
set(14,-21842,-10150,90)pt
chk(40,-21842,-8650,0)
set(14,-21842,-7150,0)pt
set(10,-17292,-7150,90)p
set(26,-15492,-7150,-90)pr
set(10,-11692,-7150,90)p
set(10,-9100,-7150,90)p
set(10,-4550,-7150,90)p
chk(40,-2525,-7150,90)
set(14,0,-7150,180)pt
set(22,0,-3000,0)p
set(22,0,-4000,0)p
set(22,0,-5000,0)p
//set(26,0,-7650,180)


maxl(30,-24000,-24000)
maxt(25,62000,-62000)
maxr(25,6000,-16000)
maxb(25,-14000,-44000)
