name(Volcanic Winter II- High Rider's kingdom)

snap(50,50,50)

sky(255,255,255)
fog(144,144,144)
ground(255,0,0)
polys(144,0,0)

fadefrom(8000)
density(8)

nlaps(2)

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)p
set(28,0,7600,0)pr
set(31,-1400,24400,0)pr
set(31,1400,24400,0)pr
set(31,0,24400,0)pr
set(10,0,16800,0)p
set(10,0,22400,0)p
set(10,0,28000,0)p
set(10,0,33600,0)p
set(10,0,39200,0)p
set(10,0,44800,0)p
set(10,0,50400,0)p
set(10,0,56000,0)p
set(32,300,38000,0)pr
set(32,-300,44250,0)pr
set(10,0,61600,0)p
set(10,0,67200,0)p
chk(40,0,68300,0)

  side 1: 

set(14,0,71200,-90)
set(10,-3710,71200,90)
set(10,-6070,71200,90)
set(10,-9430,71200,90)
set(10,-12790,71200,90)
set(10,-16150,71200,90)
set(32,-7350,71500,90)
set(10,-18710,71200,90)
chk(40,-19800,71200,90)
set(14,-22870,71200,0)
set(10,-22870,67200,0)
set(10,-22870,61600,0)
set(10,-22870,56000,0)
set(26,-22870,58500,180)
set(10,-22870,50400,0)
set(10,-22870,44800,0)
set(10,-22870,39200,0)
set(14,-22870,35200,90)
chk(40,-20400,35200,90)
set(22,-20400,35200,-90)
set(22,-21400,35200,-90)
set(21,-17760,35200,90)
set(17,-13260,35200,180)

set(15,-13260,39600,0)
set(35,-13260,46350,0)
set(15,-13260,44400,0)
set(15,-13260,50000,0)
set(15,-13260,55600,0)
set(15,-13260,61200,0)
set(17,-13260,65700,0)

chk(40,-10800,65700,90)
set(15,-9130,65700,90)
set(17,-5160,65700,-90)

set(15,-5160,61200,180)
set(20,-5160,55600,180)
set(10,-5160,50000,0)
set(10,-5160,44400,0)
set(28,-5160,48400,0)
set(31,-5160,32600,180)
set(31,-6560,32600,180)
set(31,-3760,32600,180)
set(10,-5160,38800,0)
set(10,-5160,33200,0)
set(10,-5160,27600,0)
set(10,-5160,22000,0)
set(10,-5160,16400,0)
set(10,-5160,10800,0)
set(10,-5160,7600,0)
chk(40,-5160,6000,0)
set(14,-5160,3800,180)

set(10,-8870,3800,90)
set(32,-11500,3800,90)
set(10,-12580,3800,90)
set(10,-16290,3800,90)

set(14,-20500,3800,90)
set(14,-20500,7300,-90)
set(14,-23250,7300,0)

set(10,-23250,3550,180)


set(37,-21875,3000,90)
set(37,-21875,4000,90)
set(37,-21875,2000,90)

set(14,-23250,-1000,90)
set(14,-20500,-1000,180)
set(14,-20500,1800,0)

chk(40,-21850,7300,90)
chk(40,-23250,3250,0) 
chk(40,-21850,-900,90)

set(10,-16000,1780,90)
set(10,-10450,1780,90)

set(10,-9500,1780,90)
chk(40,-6700,1780,90)
set(14,-5160,1780,-90)

set(10,-5160,-2070,0)

set(14,-5160,-5800,90)
set(22,-3010,-5800,90)
chk(40,-3400,-5800,90)
set(22,-2510,-5800,90)
set(22,-2010,-5800,90)
set(14,0,-5800,180)
set(22,0,-2700,0)
chk(40,0,-2000,0)
set(22,0,-3700,0)


  side 2:

chk(40,0,68300,0)
set(14,0,71200,0)
set(10,3710,71200,-90)
set(10,6070,71200,-90)
set(10,9430,71200,-90)
set(10,12790,71200,-90)
set(10,16150,71200,-90)
set(32,7350,71500,-90)
set(10,18710,71200,-90)
chk(40,19800,71200,90)
set(14,22870,71200,-90)
set(10,22870,67200,180)
set(10,22870,61600,180)
set(10,22870,56000,180)
set(26,22870,58500,180)
set(10,22870,50400,180)
set(10,22870,44800,180)
set(10,22870,39200,180)
set(14,22870,35200,180)
chk(40,20400,35200,90)
set(22,20400,35200,-90)
set(22,21400,35200,-90)
set(21,17760,35200,-90)
set(17,13260,35200,90)

set(15,13260,39600,180)
set(35,13260,46350,0)
set(15,13260,44400,180)
set(15,13260,50000,180)
set(15,13260,55600,180)
set(15,13260,61200,180)
set(17,13260,65700,-90)

chk(40,10800,65700,90)
set(15,9130,65700,-90)
set(17,5160,65700,0)


set(15,5160,61200,180)
set(20,5160,55600,180)
set(10,5160,50000,0)
set(10,5160,44400,0)
set(28,5160,48400,0)
set(31,5160,32600,180)
set(31,6560,32600,180)
set(31,3760,32600,180)
set(10,5160,38800,0)
set(10,5160,33200,0)
set(10,5160,27600,0)
set(10,5160,22000,0)
set(10,5160,16400,0)
set(10,5160,10800,0)
set(10,5160,7600,0)
chk(40,5160,6000,0)
set(14,5160,3800,90)

set(10,8870,3800,90)
set(32,11500,3800,-90)
set(10,12580,3800,90)
set(10,16290,3800,90)

set(14,20500,3800,180)
set(14,20500,7300,0)
set(14,23250,7300,-90)

set(10,23250,3550,180)


set(37,21875,3000,90)
set(37,21875,4000,90)
set(37,21875,2000,90)

set(14,23250,-1000,180)
set(14,20500,-1000,-270)
set(14,20500,1800,-90)

chk(40,21850,7300,90)
chk(40,23250,3250,0) 
chk(40,21850,-900,90)

set(10,16000,1780,90)
set(10,10450,1780,90)

set(10,9500,1780,90)
chk(40,6700,1780,90)
set(14,5160,1780,0)

set(10,5160,-2070,0)

set(14,5160,-5800,180)
set(22,3010,-5800,90)
chk(40,3400,-5800,90)
set(22,2510,-5800,90)
set(22,2010,-5800,90)
set(14,0,-5800,90)
set(22,0,-2700,0)
chk(40,0,-2000,0)








maxr(24,27200,-12100)
maxb(24,-12500,-57600)
maxl(24,-27200,-12100)
maxt(24,77700,-57600)
